customerID,amount,date
1060,17423,01/01/2014
1786,24124,01/01/2014
1824,23783,01/01/2014
1029,21698,01/01/2014
1070,18304,01/01/2014
1609,24892,01/01/2014
1182,33346,01/01/2014
1986,29725,01/01/2014
1725,31054,01/01/2014
1136,23867,01/01/2014
1379,28920,01/01/2014
1280,26395,01/01/2014
1065,27400,01/01/2014
1115,27359,01/01/2014
1763,29623,01/01/2014
1759,30797,01/01/2014
1822,19940,01/01/2014
1108,28089,01/01/2014
1643,20269,01/01/2014
1537,26820,01/01/2014
1480,27774,01/01/2014
1705,34759,01/01/2014
1884,29197,01/01/2014
1103,16597,01/01/2014
1521,21822,02/01/2014
1769,18933,02/01/2014
1015,18243,02/01/2014
1077,27487,02/01/2014
1257,23332,02/01/2014
1356,35399,02/01/2014
1359,24239,02/01/2014
1475,28669,02/01/2014
1106,19484,02/01/2014
1191,24782,02/01/2014
1730,22161,02/01/2014
1904,28532,02/01/2014
1419,24857,02/01/2014
1747,34693,02/01/2014
1291,16726,02/01/2014
1094,26193,02/01/2014
1251,24064,02/01/2014
1466,18033,02/01/2014
1107,17280,02/01/2014
1444,32689,02/01/2014
1326,26425,02/01/2014
1430,27625,02/01/2014
1778,24466,02/01/2014
1813,30159,02/01/2014
1234,25374,02/01/2014
1162,31477,02/01/2014
1695,26918,02/01/2014
1082,21037,02/01/2014
1467,17581,02/01/2014
1086,32531,02/01/2014
1870,19619,03/01/2014
1263,15873,03/01/2014
1167,21986,03/01/2014
1926,21687,03/01/2014
1983,18927,03/01/2014
1059,26491,03/01/2014
1615,34548,03/01/2014
1992,26652,03/01/2014
1787,25619,03/01/2014
1003,25478,03/01/2014
1435,27745,03/01/2014
1334,21653,03/01/2014
1946,29599,03/01/2014
1142,20864,03/01/2014
1470,26138,03/01/2014
1953,25409,03/01/2014
1972,18513,03/01/2014
1966,33619,03/01/2014
1558,22169,03/01/2014
1587,29884,03/01/2014
1983,25113,03/01/2014
1620,24728,03/01/2014
1537,27242,03/01/2014
1027,29403,03/01/2014
1042,31591,03/01/2014
1913,27775,03/01/2014
1563,18317,03/01/2014
1967,30929,03/01/2014
1028,19933,03/01/2014
1048,25693,03/01/2014
1654,24191,03/01/2014
1236,28836,03/01/2014
1325,25403,03/01/2014
1844,17839,04/01/2014
1920,28401,04/01/2014
1519,14622,04/01/2014
1456,23821,04/01/2014
1248,30895,04/01/2014
1747,23848,04/01/2014
1543,25359,04/01/2014
1850,21697,04/01/2014
1314,22812,04/01/2014
1731,23270,04/01/2014
1604,26954,04/01/2014
1313,28858,04/01/2014
1196,23335,04/01/2014
1699,26274,04/01/2014
1526,26543,04/01/2014
1558,28009,04/01/2014
1875,27492,04/01/2014
1918,24587,04/01/2014
1345,21616,04/01/2014
1230,29053,04/01/2014
1205,22478,04/01/2014
1091,28217,04/01/2014
1005,21445,04/01/2014
1013,12742,04/01/2014
1097,30151,04/01/2014
1628,32776,04/01/2014
1528,17385,04/01/2014
1166,32202,04/01/2014
1810,27550,04/01/2014
1010,26425,04/01/2014
1597,22255,04/01/2014
1495,27399,04/01/2014
1753,30586,04/01/2014
1166,22969,04/01/2014
1496,22471,05/01/2014
1977,23907,05/01/2014
1998,23706,05/01/2014
1365,31714,05/01/2014
1690,22077,05/01/2014
1856,25761,05/01/2014
1168,19836,05/01/2014
1846,23715,05/01/2014
1912,24010,05/01/2014
1211,25576,05/01/2014
1512,15871,05/01/2014
1765,25271,05/01/2014
1997,23243,05/01/2014
1744,25196,05/01/2014
1705,30702,05/01/2014
1238,29760,05/01/2014
1796,20506,05/01/2014
1654,25839,05/01/2014
1634,27061,05/01/2014
1496,26384,05/01/2014
1852,23495,05/01/2014
1509,30610,05/01/2014
1817,22912,05/01/2014
1334,24922,05/01/2014
1781,27863,05/01/2014
1168,31903,05/01/2014
1011,23573,05/01/2014
1156,23581,05/01/2014
1319,25010,05/01/2014
1448,29306,05/01/2014
1833,24163,05/01/2014
1373,21240,05/01/2014
1877,26456,05/01/2014
1945,26287,05/01/2014
1917,22595,05/01/2014
1353,26625,05/01/2014
1872,30460,05/01/2014
1594,17692,05/01/2014
1581,23755,05/01/2014
1813,30897,05/01/2014
1784,24965,06/01/2014
1386,21459,06/01/2014
1003,23918,06/01/2014
1543,20524,06/01/2014
1271,22586,06/01/2014
1503,31005,06/01/2014
1463,29744,06/01/2014
1415,24744,06/01/2014
1944,24384,06/01/2014
1043,31359,06/01/2014
1747,23542,06/01/2014
1602,18014,06/01/2014
1457,28871,06/01/2014
1102,22694,06/01/2014
1262,19161,06/01/2014
1072,27403,06/01/2014
1748,27319,06/01/2014
1344,19692,06/01/2014
1061,25312,06/01/2014
1152,29646,06/01/2014
1635,19750,06/01/2014
1037,24603,06/01/2014
1736,27252,06/01/2014
1519,20430,07/01/2014
